"date","time","size","version","os","country","ip_id"
"2019-10-05","04:30:50",79427280,"3.6.1","osx",NA,1
"2019-10-05","04:30:49",84776247,"3.6.1","win","US",2
"2019-10-05","04:31:05",84775430,"3.6.1","win",NA,1
"2019-10-05","04:32:11",74889290,"3.3.3","osx","US",3
"2019-10-05","04:32:15",26382488,"3.6.1","win","KR",4
"2019-10-05","04:33:25",84777950,"3.6.1","win","US",5
"2019-10-05","04:33:50",20034762,"3.6.1","win","KR",4
"2019-10-05","04:35:30",84681885,"3.6.1","win","DE",6
"2019-10-05","16:56:05",84774896,"3.6.1","win","US",7
"2019-10-05","16:55:49",84776883,"3.6.1","win","US",8
"2019-10-05","16:56:03",84775031,"3.6.1","win","PL",9
"2019-10-05","16:56:13",9314062,"3.6.1","win","IN",10
"2019-10-05","16:56:30",84921423,"devel","win","US",11
"2019-10-05","16:56:33",84781413,"3.6.1","win","US",12
"2019-10-05","16:56:42",84775447,"3.6.1","win",NA,1
"2019-10-05","16:56:50",84774986,"3.6.1","win","US",13
"2019-10-05","16:56:28",83831589,"3.6.0","win","ET",14
"2019-10-05","16:57:37",84775255,"3.6.1","win","GB",15
"2019-10-05","16:58:11",79338817,"latest","osx","US",3
"2019-10-05","16:58:47",79426256,"3.6.1","osx","US",16
"2019-10-05","16:58:34",84774780,"3.6.1","win","IN",10
"2019-10-05","16:58:56",84681894,"3.6.1","win","CO",17
"2019-10-05","16:59:19",84775122,"3.6.1","win",NA,1
"2019-10-05","16:59:14",84785760,"3.6.1","win","FR",18
"2019-10-05","16:59:21",84775201,"3.6.1","win","PL",19
"2019-10-05","16:58:53",84929013,"3.6.1patched","win","US",20
"2019-10-05","23:21:06",79427979,"latest","osx","US",3
"2019-10-05","23:21:15",79429495,"3.6.1","osx",NA,1
"2019-10-05","23:21:53",84681890,"3.6.1","win","US",21
"2019-10-05","23:22:42",79426519,"3.6.1","osx","TR",22
"2019-10-05","23:22:51",84781049,"3.6.1","win","US",23
"2019-10-05","23:23:05",84774979,"3.6.1","win","MX",24
"2019-10-05","23:23:19",84775093,"3.6.1","win",NA,1
"2019-10-05","23:24:05",30463553,"3.6.1","src","GB",25
"2019-10-05","23:24:23",84776148,"3.6.1","win","US",26
"2019-10-05","23:24:33",84775890,"3.6.1","win","PL",27
"2019-10-05","23:24:21",84774982,"3.6.1","win","PE",28
"2019-10-05","23:24:46",84774918,"3.6.1","win",NA,1
"2019-10-05","23:24:41",84928928,"3.6.1patched","win","US",23
"2019-10-05","23:25:30",84783978,"3.6.1","win","US",29
"2019-10-05","13:35:38",84774913,"3.6.1","win","IN",30
"2019-10-05","13:35:33",79425870,"3.6.1","osx","ZA",31
"2019-10-05","13:35:36",84774911,"3.6.1","win",NA,1
"2019-10-05","13:35:50",84777342,"3.6.1","win","US",32
"2019-10-05","13:36:08",79338817,"latest","osx","US",3
"2019-10-05","13:37:15",84774862,"3.6.1","win","GB",33
"2019-10-05","13:37:33",84774767,"3.6.1","win","GB",33
"2019-10-05","13:37:47",23030553,"3.6.1","win","PL",34
"2019-10-05","13:38:08",84774889,"3.6.1","win","JM",35
"2019-10-05","13:38:26",84774878,"3.6.1","win","FR",36
"2019-10-05","13:38:35",84921174,"devel","win","US",37
"2019-10-05","13:39:01",84774994,"3.6.1","win","GB",38
"2019-10-05","13:38:02",84921450,"3.6.1patched","win","US",12
"2019-10-05","13:39:03",84775121,"3.6.1","win","DE",39
"2019-10-05","13:39:12",84778199,"3.6.1","win","MA",40
"2019-10-05","13:39:11",84929509,"3.6.1patched","win","US",20
"2019-10-05","13:39:32",84775893,"3.6.1","win","CA",41
"2019-10-05","13:39:40",84782003,"3.6.1","win","CN",42
"2019-10-05","13:39:38",79433875,"latest","osx","US",3
"2019-10-05","13:39:46",84775049,"3.6.1","win","CA",41
"2019-10-05","13:39:48",79425811,"latest","osx","US",3
"2019-10-05","13:40:02",79425830,"latest","osx","US",3
"2019-10-05","13:39:55",84784609,"3.6.1","win","GB",43
"2019-10-05","19:55:38",84774871,"3.6.1","win","CA",44
"2019-10-05","19:55:58",79427440,"3.6.1","osx","US",45
"2019-10-05","19:55:59",79431181,"latest","osx","US",3
"2019-10-05","19:56:22",79425820,"latest","osx","US",3
"2019-10-05","19:56:29",84784270,"3.6.1","win","CL",46
"2019-10-05","19:56:59",84681880,"3.6.1","win","BR",47
"2019-10-05","19:57:18",79426642,"3.6.1","osx","CA",48
"2019-10-05","19:58:26",84775920,"3.6.1","win","US",49
"2019-10-05","19:58:26",84681891,"3.6.1","win","US",50
"2019-10-05","19:58:31",79428137,"3.6.1","osx","US",51
"2019-10-05","19:58:33",84681884,"3.6.1","win","IT",52
"2019-10-05","19:58:46",84775153,"3.6.1","win",NA,1
"2019-10-05","19:59:32",84774904,"3.6.1","win","UA",53
"2019-10-05","19:59:23",79425842,"3.6.1","osx","GB",54
"2019-10-05","02:05:22",84775474,"3.6.1","win","JP",55
"2019-10-05","02:05:35",84779043,"3.6.1","win","US",56
"2019-10-05","02:06:06",985917,"3.2.3","osx","RU",57
"2019-10-05","02:06:00",74373348,"3.3.3","win","US",12
"2019-10-05","02:06:06",84780909,"3.6.1","win","US",37
"2019-10-05","02:06:24",84781544,"3.6.1","win","CN",58
"2019-10-05","02:06:23",84774887,"3.6.1","win","GT",59
"2019-10-05","02:06:53",84778963,"3.6.1","win",NA,1
"2019-10-05","02:07:08",84681895,"3.6.1","win","CN",60
"2019-10-05","02:07:12",84774902,"3.6.1","win","KR",61
"2019-10-05","02:07:11",84779433,"3.6.1","win","US",62
"2019-10-05","02:07:43",82912542,"3.5.3","win","US",23
"2019-10-05","02:07:48",84931259,"3.6.1patched","win","US",23
"2019-10-05","02:07:53",79434532,"latest","osx","US",3
"2019-10-05","02:07:42",79338817,"latest","osx","US",3
